               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1022,            0.030097,                   0,           0.0024028,             0.28216,           0.0016477,          0.00046868,            0.097586,            0.019865,                   0,            0.070833,           0.0032407,           0.0032407
                   1,            0.096175,             0.03226,                   0,           0.0023086,             0.27109,           0.0016688,          0.00049022,            0.095266,            0.020326,                   0,            0.040768,            0.006509,            0.006509
                   2,            0.095172,             0.03173,                   0,           0.0022497,             0.26418,           0.0019075,          0.00053283,            0.094693,            0.020374,                   0,            0.010637,           0.0097112,           0.0097112
                   3,            0.094939,            0.033334,                   0,           0.0024735,             0.29046,            0.002324,          0.00065539,            0.095032,            0.020102,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.093527,            0.033134,                   0,           0.0022615,             0.26556,           0.0022382,          0.00053299,             0.10094,             0.01884,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.092736,            0.032364,                   0,           0.0022733,             0.26694,           0.0023511,          0.00060348,             0.10152,            0.018986,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.089814,            0.031822,                   0,           0.0034418,             0.19087,           0.0034958,          0.00088012,            0.098455,            0.019843,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.090302,            0.034236,                   0,           0.0023793,             0.27939,            0.003382,          0.00077326,             0.09641,            0.019781,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.089847,            0.034486,                   0,           0.0025913,             0.30429,           0.0040588,           0.0010675,            0.094847,            0.020012,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.087565,            0.033695,                   0,           0.0026737,             0.31397,           0.0097126,           0.0029992,            0.094482,            0.019396,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.086709,            0.034291,                   0,            0.017356,            0.062241,           0.0055518,            0.001397,             0.10355,            0.018377,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.085654,             0.03417,                   0,            0.022918,             0.10097,            0.019885,           0.0046331,            0.099497,             0.02001,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.084748,            0.033221,                   0,            0.018349,            0.056708,            0.010006,           0.0016108,             0.10137,            0.019582,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.083311,            0.035671,                   0,            0.013042,            0.056708,            0.003845,          0.00096275,            0.099108,            0.022794,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.083099,            0.033944,                   0,            0.097937,             0.10235,              0.0274,           0.0067196,            0.087666,             0.02135,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.081818,            0.032617,                   0,           0.0043347,            0.047026,           0.0020544,          0.00054937,             0.11412,            0.021395,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.080629,            0.032854,                   0,            0.058855,            0.074689,            0.017759,           0.0033594,             0.10049,            0.017801,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.079446,            0.033201,                   0,            0.097917,              0.1148,             0.03334,           0.0074748,            0.087457,              0.0212,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077003,            0.032808,                   0,             0.18928,             0.10097,            0.059244,            0.012142,             0.08877,            0.022406,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.077947,            0.033698,                   0,             0.11068,             0.12586,            0.039642,            0.009281,            0.083447,            0.021706,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.076542,            0.033903,                   0,               0.156,             0.12586,            0.063523,            0.014439,            0.086245,            0.020768,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.075489,            0.032841,                   0,            0.083688,            0.092669,            0.024225,           0.0057693,            0.092742,            0.018811,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.075148,            0.031952,                   0,             0.14469,             0.13278,            0.059413,            0.012248,            0.089969,            0.020675,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.074881,            0.033985,                   0,             0.17531,             0.13001,            0.066992,            0.015331,            0.090712,            0.020676,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.072547,            0.033204,                   0,             0.21016,             0.17629,             0.10406,            0.029812,            0.081259,             0.01987,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.072656,            0.034081,                   0,             0.24183,             0.18811,             0.11462,            0.033781,            0.078952,            0.021443,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.071988,            0.032468,                   0,              0.2543,              0.1448,            0.087554,            0.022084,            0.087035,            0.018778,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.070643,            0.032327,                   0,             0.28541,             0.20885,             0.14085,            0.038092,            0.081989,             0.01876,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.068807,            0.031275,                   0,             0.35453,             0.16598,             0.14057,            0.043021,             0.08346,            0.018621,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.07002,            0.032136,                   0,             0.23918,             0.17566,             0.10701,            0.026119,            0.085232,            0.018893,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.069041,            0.032885,                   0,             0.26632,             0.21024,             0.15764,            0.045149,             0.07893,            0.019166,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.067401,            0.032067,                   0,             0.44543,             0.24066,              0.2237,            0.079446,            0.074071,            0.021402,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.067492,            0.031363,                   0,             0.16354,             0.13001,            0.060145,            0.020134,            0.084855,            0.026106,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.066559,             0.03343,                   0,             0.25906,             0.15076,             0.11409,             0.03292,            0.087358,            0.019499,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.065381,             0.03083,                   0,              0.3886,             0.22545,             0.19863,            0.063805,            0.080325,            0.017536,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.064544,            0.029997,                   0,             0.36621,             0.18396,             0.15747,            0.049753,            0.079814,            0.019886,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.064445,            0.031729,                   0,             0.43439,             0.24896,             0.23414,            0.088393,            0.075177,            0.018839,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.064122,            0.029596,                   0,             0.49443,              0.3444,             0.33275,             0.11046,             0.07148,            0.017174,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.064733,            0.031636,                   0,             0.50027,             0.28216,             0.26793,            0.098524,            0.076057,            0.017474,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.064184,             0.03073,                   0,             0.49639,             0.31259,             0.28639,             0.11308,            0.069736,            0.019334,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.062521,            0.030941,                   0,             0.53505,             0.28907,             0.28939,            0.088336,            0.072357,            0.017338,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.062971,            0.029846,                   0,             0.44545,             0.26833,             0.24749,            0.087504,            0.076664,            0.018107,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.062696,            0.030097,                   0,             0.54564,              0.3278,             0.33048,             0.12001,            0.071979,             0.01658,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.061035,            0.028884,                   0,             0.49646,             0.32089,             0.30879,             0.10014,            0.071418,            0.016241,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.061526,            0.030837,                   0,              0.5284,             0.32642,             0.33612,             0.12063,            0.067425,            0.016775,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.060614,            0.030543,                   0,             0.56618,             0.33756,              0.3647,             0.13675,            0.067388,            0.016722,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.061907,            0.029269,                   0,             0.49175,              0.3278,             0.30557,            0.093523,             0.06898,            0.016718,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.060838,            0.028831,                   0,             0.57917,             0.35823,             0.37617,             0.12898,            0.067366,             0.01635,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.06013,            0.029408,                   0,             0.51987,             0.37898,             0.37976,             0.15541,            0.063828,            0.017174,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.059367,            0.029364,                   0,             0.47269,             0.30152,             0.28582,            0.085718,            0.074496,            0.016543,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.058258,            0.029054,                   0,             0.47089,             0.28907,             0.26797,            0.085104,            0.077977,            0.017117,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.059132,            0.029374,                   0,             0.50148,             0.33748,             0.31984,             0.12784,            0.068837,            0.017428,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.060144,              0.0285,                   0,             0.59885,             0.33887,               0.348,             0.14126,            0.071899,            0.016946,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.058332,            0.030247,                   0,             0.57606,             0.31535,             0.36837,             0.14785,            0.065183,            0.017426,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.05815,            0.028941,                   0,             0.55936,              0.3361,              0.3611,             0.13935,            0.068517,            0.017694,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.056575,            0.029282,                   0,             0.62439,             0.38036,             0.42121,             0.14027,             0.06571,            0.015721,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.058562,             0.03017,                   0,             0.61902,             0.35408,             0.39524,             0.15536,            0.064673,            0.016126,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.055862,             0.02869,                   0,             0.62114,             0.39004,              0.4105,             0.18322,            0.065889,            0.015666,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.057159,            0.029628,                   0,             0.59663,              0.3846,             0.41434,             0.17229,            0.063165,            0.016325,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.057461,            0.030365,                   0,             0.59198,             0.35823,             0.37536,             0.14199,             0.06988,            0.016417,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.05463,            0.027286,                   0,             0.63978,             0.39142,             0.43645,             0.16845,            0.062829,             0.01569,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.055771,            0.028373,                   0,             0.62646,             0.38451,             0.41285,             0.17233,            0.064814,            0.016481,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.055261,            0.028064,                   0,             0.56852,             0.39547,             0.41345,              0.1744,            0.064014,            0.016088,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.056679,            0.028833,                   0,             0.59496,             0.40111,             0.40989,             0.16614,             0.06354,            0.016115,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.053857,            0.027483,                   0,             0.62839,             0.39696,             0.44598,             0.18569,            0.061602,            0.015672,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.054993,             0.02745,                   0,              0.6434,             0.41217,             0.45375,             0.19199,            0.062332,            0.015623,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.054461,            0.027573,                   0,              0.6251,             0.38514,             0.41399,             0.17373,            0.065321,            0.016246,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.054359,            0.028096,                   0,             0.64156,             0.41355,               0.456,             0.18421,            0.061663,            0.015687,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.053216,            0.026672,                   0,             0.68963,             0.42462,             0.48147,             0.19384,            0.060045,            0.015395,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.05437,            0.027081,                   0,             0.62093,             0.43707,             0.47218,             0.21187,            0.059386,            0.015682,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.055189,            0.027722,                   0,             0.65201,             0.36791,             0.43997,             0.18483,             0.06237,             0.01557,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.053383,             0.02706,                   0,              0.6832,             0.40566,              0.4725,              0.1938,            0.061037,            0.015083,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.05387,            0.028249,                   0,             0.66317,              0.3649,             0.40368,             0.16404,            0.067234,            0.015667,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.053768,            0.026935,                   0,             0.68602,             0.39281,             0.46308,             0.18407,            0.061216,            0.015428,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.053099,            0.027888,                   0,             0.61931,             0.42077,             0.47365,              0.1937,            0.061228,            0.016223,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.053355,            0.026896,                   0,             0.61398,             0.39004,             0.42445,             0.17787,            0.067001,            0.015389,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.052454,            0.028186,                   0,             0.68136,             0.45781,             0.51466,             0.21947,            0.058634,            0.015321,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.051479,             0.02567,                   0,             0.67415,              0.4177,             0.47063,             0.20122,            0.059663,            0.015438,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.051646,            0.027269,                   0,             0.67929,             0.40941,             0.46882,              0.1988,            0.062104,             0.01514,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.052469,            0.026913,                   0,               0.653,             0.43707,             0.49425,             0.20016,             0.05939,            0.015262,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.051903,            0.026998,                   0,             0.69614,             0.43845,             0.49818,             0.19247,            0.060485,            0.014961,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.051875,            0.027606,                   0,             0.63417,             0.45316,             0.48458,             0.20068,             0.05998,            0.015123,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.051363,            0.026788,                   0,             0.65769,             0.46058,             0.50224,             0.21506,             0.05802,            0.015202,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.051592,            0.026126,                   0,              0.6314,              0.4758,               0.499,              0.2174,            0.059321,             0.01512,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.049929,            0.026447,                   0,             0.57916,             0.45781,             0.48449,             0.21133,            0.059232,            0.015697,                   0,            0.001783,            0.001783,            0.001783
